RUN_ID,RUN_TIME,RESULT_ID,LINUX_SERVER_COUNT,REDHAT_5,REDHAT_6,REDHAT_7,SERVER_COUNT_WITH_REPEATER,RPM_COUNT,TOTAL_RPM_PAYLOAD,BATCH_JOB_RUN_ID,TOTAL_RPM_SIZE,RUN_TIME_MINS,RHEL5,RHEL6,RHEL7,REPEATER
3941407,775,6363390,1,1,0,0,0,16,417159252,3931689,398,13,1,0,0,0
3889377,2711,6257867,1,0,1,0,0,290,923930268,3889354,881,45,0,1,0,0
3938179,998,6385981,1,0,0,0,0,268,1123365960,3936094,1071,17,0,0,0,0
3935583,504,6392627,1,0,0,0,0,241,962187248,3933072,918,8,0,0,0,0
3893129,292,6268517,3,1,0,0,0,48,675526128,3892948,644,5,1,0,0,0
3910483,283,6321030,2,2,0,0,0,48,289933480,3910480,277,5,1,0,0,0
3941706,389,6387129,7,7,0,0,0,84,1014775468,3941703,968,6,1,0,0,0
3889078,641,6265826,1,0,0,0,0,244,887233188,3889061,846,11,0,0,0,0
3887085,879,6268055,2,0,0,0,0,496,1908470176,3889363,1820,15,0,0,0,0
3941228,666,6389338,2,2,0,0,0,36,808332832,3942408,771,11,1,0,0,0
3941227,367,6389337,1,1,0,0,0,15,238060604,3941518,227,6,1,0,0,0
3893437,403,6263196,1,1,0,0,0,20,553635556,3893422,528,7,1,0,0,0
3892955,415,6265765,2,2,0,0,0,48,809286256,3893115,772,7,1,0,0,0
3938178,678,6385980,1,0,1,0,0,198,672461156,3942325,641,11,0,1,0,0
3922574,173,6349529,1,1,0,0,0,1,3377552,3922572,3,3,1,0,0,0
3931985,275,6393321,1,1,0,0,0,14,396042408,3941220,378,5,1,0,0,0
3931984,616,6393320,1,1,0,0,0,23,404495284,3941223,386,10,1,0,0,0
3938176,987,6385978,1,1,0,0,0,22,432289568,3942130,412,16,1,0,0,0
3938053,607,6383261,1,0,0,0,0,4,42484952,3937946,41,10,0,0,0,0
3942314,1201,6394911,4,4,0,0,0,48,579871696,3942312,553,20,1,0,0,0
